"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Urucará (AM)";"30791";"32139";"44738";"50258";"53408";"58136";"76587";"74149";"65843";"69522";"113282";"130445";"124928"
"Urucurituba (AM)";"20300";"20923";"31983";"35450";"37128";"38784";"57595";"68112";"61678";"67572";"86494";"91333";"98001"
"Amajari (RR)";"21756";"25796";"28058";"30643";"32341";"31951";"42594";"52787";"60781";"71195";"84730";"99513";"111597"
"Alto Alegre (RR)";"70687";"80932";"90806";"106200";"108119";"115974";"117747";"112616";"129986";"142005";"164251";"172710";"181499"
"Boa Vista (RR)";"1222760";"1395579";"1594162";"1905441";"1942674";"2264674";"2611393";"3035793";"3577244";"4089952";"4659035";"5103081";"5322964"
"Bonfim (RR)";"45460";"48804";"54673";"63287";"64331";"68466";"77320";"81980";"96591";"111179";"120401";"134084";"150359"
"Cantá (RR)";"44820";"50064";"56437";"67521";"73584";"74792";"89684";"96322";"118012";"146134";"163100";"173190";"176994"
"Caracaraí (RR)";"69061";"73108";"79177";"85856";"89926";"101045";"117213";"128365";"144187";"170911";"181418";"207851";"218807"
"Caroebe (RR)";"20793";"31387";"36126";"42177";"41429";"42359";"49705";"57880";"66980";"77340";"83997";"92131";"102736"
"Iracema (RR)";"19719";"29202";"34066";"40307";"41099";"46757";"49949";"51222";"57836";"71119";"84743";"93025";"102855"
"Mucajaí (RR)";"51022";"61911";"71837";"86276";"88266";"91378";"102819";"109348";"127459";"146633";"165298";"181659";"182805"
"Normandia (RR)";"29850";"35617";"38219";"46970";"53189";"51114";"62381";"65719";"77571";"74637";"89486";"95899";"102146"
"Pacaraima (RR)";"51950";"47597";"51543";"60916";"69188";"60955";"70833";"80939";"88229";"93472";"114321";"117774";"119266"
"Rorainópolis (RR)";"66830";"83389";"99697";"113148";"118764";"131752";"154621";"169803";"195640";"231620";"238255";"267096";"307566"
"São João da Baliza (RR)";"21294";"25356";"28176";"31495";"30669";"34162";"40703";"44944";"54906";"59398";"66228";"73231";"83802"
"São Luiz (RR)";"21968";"24703";"28206";"33250";"33170";"36596";"39678";"41656";"46984";"54441";"63863";"68989";"74285"
"Uiramutã (RR)";"18685";"19693";"21462";"23515";"24331";"27312";"33444";"39225";"46895";"53456";"61476";"70957";"76156"
"Abaetetuba (PA)";"141722";"169236";"195770";"227660";"257103";"277432";"321622";"367646";"406748";"456937";"535826";"622841";"750728"
