"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Ipuaçu (SC)";"26082";"31851";"44293";"59586";"61938";"47857";"43870";"52999";"87982";"96555";"86758";"96921";"70151"
"Ipumirim (SC)";"48418";"58168";"69694";"90035";"109981";"114411";"109719";"131717";"186093";"186549";"172601";"237854";"215928"
"Iraceminha (SC)";"19534";"18887";"23964";"36781";"39532";"32276";"33737";"38791";"55063";"60550";"67343";"79465";"59893"
"Irani (SC)";"31259";"35271";"41734";"52687";"67283";"70611";"73372";"84091";"100776";"106392";"130312";"148981";"138711"
"Irati (SC)";"10009";"10537";"12797";"16338";"15635";"16249";"16372";"22335";"26931";"27000";"27114";"30211";"25644"
"Irineópolis (SC)";"52306";"58779";"78122";"108691";"123436";"113117";"101682";"123588";"170225";"186988";"201244";"186248";"162430"
"Itá (SC)";"49982";"40411";"54837";"96938";"117815";"101545";"89553";"139331";"178126";"186876";"204158";"267844";"196528"
"Itaiópolis (SC)";"101633";"118086";"131026";"176316";"195319";"202421";"214644";"233719";"285420";"337180";"352553";"410047";"389267"
"Itajaí (SC)";"1712087";"2273162";"3149836";"3964988";"5116311";"6031127";"6297432";"7982909";"10169929";"10889035";"15922964";"18596266";"19754199"
"Itapema (SC)";"148218";"169357";"173639";"213146";"250997";"288620";"327842";"361079";"438460";"496591";"627111";"712427";"802290"
"Itapiranga (SC)";"134339";"191379";"188959";"242765";"296351";"295263";"294296";"347415";"512388";"513080";"442119";"550150";"320394"
"Itapoá (SC)";"38521";"43220";"51669";"63102";"70867";"82283";"100955";"108184";"120390";"136562";"174768";"197664";"241947"
"Ituporanga (SC)";"133877";"151588";"165140";"211118";"238032";"249351";"282462";"323045";"383928";"410508";"485613";"440702";"389959"
"Jaborá (SC)";"22399";"27363";"30637";"36818";"45728";"50109";"42694";"51128";"65260";"62318";"65077";"83590";"67031"
"Jacinto Machado (SC)";"47187";"56255";"68441";"105979";"114834";"106350";"111678";"125242";"169761";"181259";"174430";"192015";"209966"
"Jaguaruna (SC)";"86551";"91220";"82282";"108962";"123614";"123069";"123716";"134546";"175916";"198141";"226679";"242053";"300666"
"Jaraguá do Sul (SC)";"1633182";"1901983";"2103774";"2562847";"3144519";"3422839";"2963659";"4195513";"4800027";"4698277";"5585982";"6138379";"6686194"
"Jardinópolis (SC)";"8325";"9071";"10191";"14591";"17032";"13232";"13029";"16675";"22987";"23202";"19042";"39449";"37167"
"Joaçaba (SC)";"337265";"387206";"475216";"549425";"614730";"620677";"630221";"723772";"783630";"851943";"852955";"949030";"1215081"
"Joinville (SC)";"4700826";"5255475";"5722420";"6635842";"8005498";"9071455";"10697887";"11462068";"13219945";"13349588";"17254854";"18837927";"18299283"
"José Boiteux (SC)";"17804";"19391";"23709";"29245";"32347";"36616";"37554";"40223";"47816";"50941";"63896";"59435";"53330"
"Jupiá (SC)";"8646";"9763";"12153";"18252";"18598";"17242";"17356";"23266";"29622";"29008";"31608";"34793";"30357"
"Lacerdópolis (SC)";"12871";"14174";"15904";"20099";"23027";"21000";"18519";"31053";"40903";"39553";"35385";"51539";"47167"
"Lages (SC)";"857577";"968582";"1103954";"1330084";"1557154";"1764388";"1987181";"2036791";"2362059";"2375814";"2648193";"3007112";"3343485"
"Laguna (SC)";"166441";"184978";"205684";"238625";"258406";"290455";"338027";"363933";"409666";"442892";"529627";"560945";"573460"
"Lajeado Grande (SC)";"8392";"9142";"10114";"15183";"18440";"19559";"17731";"18531";"26024";"28381";"21593";"29183";"21705"
"Laurentino (SC)";"35118";"39325";"44260";"59478";"68550";"76987";"88567";"102884";"131874";"140195";"111691";"117778";"122638"
"Lauro Müller (SC)";"126325";"154175";"68314";"87955";"121559";"124173";"133686";"157186";"189332";"182812";"164614";"213889";"200236"
"Lebon Régis (SC)";"40263";"42380";"50825";"64577";"65244";"72671";"91310";"95175";"116896";"127003";"206415";"156495";"140268"
"Leoberto Leal (SC)";"18400";"25188";"31124";"31261";"23746";"33954";"32535";"40079";"51524";"57129";"63586";"55115";"52981"
"Lindóia do Sul (SC)";"23496";"26758";"32030";"40269";"46646";"49299";"43558";"57874";"92310";"102688";"96409";"123512";"76805"
"Lontras (SC)";"36722";"41822";"47876";"58101";"56873";"61252";"71234";"82080";"101956";"111379";"137649";"146237";"130645"
"Luiz Alves (SC)";"61475";"75706";"78508";"95585";"120214";"130033";"141519";"162827";"189948";"207895";"281904";"321300";"321845"
"Luzerna (SC)";"27498";"30843";"35111";"43794";"49594";"52937";"55531";"62632";"76818";"78829";"91663";"110505";"93583"
"Macieira (SC)";"7418";"7503";"7848";"11550";"12432";"14023";"16560";"18977";"22920";"27097";"30291";"26525";"24848"
"Mafra (SC)";"339374";"385172";"463278";"550695";"651079";"636367";"650684";"705311";"866314";"900410";"976963";"1014909";"1158689"
"Major Gercino (SC)";"14010";"16767";"18257";"21192";"22805";"25434";"24742";"24484";"30052";"36038";"36511";"37746";"36857"
"Major Vieira (SC)";"34997";"37833";"51772";"70810";"66555";"65414";"67890";"93460";"117559";"126222";"117223";"110201";"99935"
"Maracajá (SC)";"41854";"44438";"56956";"74899";"82953";"85464";"80926";"91074";"102803";"120609";"98759";"104511";"107360"
"Maravilha (SC)";"127618";"138979";"168106";"212509";"239186";"241784";"262269";"310991";"394966";"400306";"404504";"461858";"565502"
"Marema (SC)";"13642";"14858";"16840";"22093";"24563";"24059";"21663";"25190";"32324";"33070";"31641";"44325";"34049"
"Massaranduba (SC)";"84479";"101526";"115875";"159334";"181379";"175665";"194901";"200356";"233166";"259259";"348773";"351168";"338219"
"Matos Costa (SC)";"8286";"9138";"9945";"12485";"12819";"15876";"17120";"18725";"22205";"27660";"28931";"28883";"28733"
"Meleiro (SC)";"42963";"56684";"66711";"108248";"103334";"93489";"93130";"102304";"130438";"158321";"144803";"142969";"231808"
"Mirim Doce (SC)";"13725";"14316";"14224";"20512";"24930";"24329";"22320";"24880";"30601";"62828";"35224";"32735";"35994"
"Modelo (SC)";"19051";"19694";"22508";"28717";"31781";"31498";"33310";"38885";"45785";"48332";"56301";"63334";"55848"
"Mondaí (SC)";"63070";"62976";"85500";"119592";"134952";"140012";"152247";"195377";"231177";"268108";"268367";"328803";"312417"
"Monte Carlo (SC)";"47062";"48036";"57824";"72607";"63866";"67494";"81142";"76984";"91312";"94473";"112163";"109550";"106771"
"Monte Castelo (SC)";"25368";"27983";"33982";"44294";"80183";"71085";"72647";"79150";"92265";"102375";"118702";"117859";"116695"
"Morro da Fumaça (SC)";"154245";"163737";"161980";"186381";"226140";"234535";"265849";"256382";"346862";"371232";"413347";"479934";"437964"
"Morro Grande (SC)";"14449";"18252";"19814";"26101";"28377";"26668";"22891";"24662";"56058";"71921";"83876";"118642";"96371"
"Navegantes (SC)";"201888";"233535";"248122";"290457";"336920";"400747";"494807";"595164";"709245";"912034";"1148420";"1238923";"1488419"
"Nova Erechim (SC)";"18869";"20540";"22714";"30957";"43431";"41041";"40605";"48891";"60461";"60720";"68710";"91548";"66333"
"Nova Itaberaba (SC)";"18004";"21929";"25521";"32602";"36319";"40218";"39600";"43708";"59378";"61335";"59725";"86077";"53914"
"Nova Trento (SC)";"48634";"51096";"59650";"74191";"94059";"101403";"116287";"128295";"153492";"167201";"204556";"234622";"241514"
"Nova Veneza (SC)";"135365";"160526";"185511";"260701";"306980";"297303";"302602";"352717";"419574";"399456";"371551";"414923";"375380"
"Novo Horizonte (SC)";"14292";"15585";"19916";"30148";"32517";"43539";"30432";"39739";"43514";"61570";"71568";"69876";"43928"
"Orleans (SC)";"158645";"173476";"189081";"227029";"258375";"292789";"312869";"335780";"399701";"441769";"524174";"607144";"600573"
"Otacílio Costa (SC)";"175333";"180509";"189989";"228364";"284331";"244405";"283360";"304978";"338902";"363993";"544589";"529595";"465587"
"Ouro (SC)";"34459";"38943";"43984";"55438";"66197";"62309";"55443";"65419";"77810";"82420";"80460";"107251";"94063"
"Ouro Verde (SC)";"20158";"22092";"26715";"43957";"54428";"34101";"32752";"41128";"59624";"63287";"47225";"52566";"39255"
"Paial (SC)";"7992";"10264";"10634";"14977";"16009";"15797";"14228";"17975";"21814";"20076";"21075";"26628";"20213"
"Painel (SC)";"13524";"13875";"15846";"18487";"18426";"20109";"20863";"22540";"26607";"29419";"37606";"33618";"30684"
"Palhoça (SC)";"395672";"445914";"488046";"586851";"641321";"755617";"995849";"1091073";"1468577";"1688279";"2034540";"2565973";"2517056"
"Palma Sola (SC)";"39720";"42647";"56611";"80952";"89466";"77366";"81446";"94729";"117841";"118755";"132805";"152867";"110946"
"Palmeira (SC)";"13114";"18960";"18095";"21566";"25988";"33738";"36305";"35778";"39400";"44180";"58859";"65639";"52316"
"Palmitos (SC)";"110923";"119319";"156920";"213736";"246185";"232991";"216749";"299006";"372904";"355921";"333694";"303303";"286345"
"Papanduva (SC)";"76543";"91746";"111058";"142641";"179399";"161175";"165690";"198741";"256037";"284503";"305559";"301958";"267414"
"Paraíso (SC)";"17202";"18750";"21319";"29966";"32112";"33687";"30957";"34338";"46584";"46508";"51726";"53840";"57333"
"Passo de Torres (SC)";"20073";"20208";"24015";"35865";"33447";"39952";"44841";"49285";"48045";"51442";"57500";"53557";"53594"
"Passos Maia (SC)";"15787";"17354";"22255";"28549";"28713";"31875";"33250";"40211";"53818";"60187";"53554";"64865";"59179"
"Paulo Lopes (SC)";"21559";"24537";"28845";"35657";"39709";"44045";"52892";"60857";"71106";"84654";"104643";"133954";"158540"
"Pedras Grandes (SC)";"21914";"26682";"31862";"49941";"43788";"50582";"52391";"49399";"65559";"66078";"66657";"77845";"59859"
"Penha (SC)";"76125";"88590";"97002";"111651";"126595";"147009";"179444";"197530";"224485";"252479";"327992";"360793";"388364"
"Peritiba (SC)";"16181";"18008";"20590";"27425";"30625";"33698";"35147";"42635";"49708";"46729";"41296";"49791";"43894"
"Petrolândia (SC)";"33913";"38662";"43440";"53107";"53919";"59534";"56128";"66319";"89432";"102403";"115769";"106047";"92896"
"Balneário Piçarras (SC)";"52995";"62081";"71126";"93974";"111540";"133002";"171394";"204641";"228255";"237356";"274357";"313082";"386640"
"Pinhalzinho (SC)";"88330";"101508";"137937";"161225";"205203";"192149";"212793";"257107";"323420";"397658";"398905";"503825";"513261"
"Pinheiro Preto (SC)";"23088";"27352";"26298";"29942";"34289";"39690";"43332";"50266";"57677";"68616";"87089";"91997";"85186"
"Piratuba (SC)";"37230";"51526";"54051";"83264";"109021";"81751";"71411";"68358";"72618";"71321";"82470";"103835";"131486"
"Planalto Alegre (SC)";"11407";"12591";"14301";"19830";"21013";"18836";"19249";"23777";"29086";"29882";"31255";"38121";"31643"
"Pomerode (SC)";"241124";"273006";"287136";"327155";"393977";"468295";"529563";"597275";"659913";"729513";"911101";"1029418";"1206498"
"Ponte Alta (SC)";"25470";"32572";"36920";"50676";"46960";"56341";"60518";"51853";"56771";"62146";"60003";"66752";"66508"
"Ponte Alta do Norte (SC)";"16725";"42576";"52957";"65828";"58098";"72507";"69540";"48657";"52792";"56974";"76414";"78597";"65505"
"Ponte Serrada (SC)";"57961";"50115";"60184";"73368";"75604";"83201";"89617";"94107";"107862";"109963";"132143";"156282";"157512"
"Porto Belo (SC)";"54574";"66151";"77494";"87612";"100145";"112166";"150525";"146847";"166983";"414392";"257916";"295891";"284822"
"Porto União (SC)";"110640";"113416";"121568";"157790";"181053";"185894";"205836";"227337";"304973";"282176";"317387";"349930";"344993"
"Pouso Redondo (SC)";"65131";"79316";"92790";"119901";"151059";"153694";"162740";"178400";"218407";"237346";"279685";"308585";"251531"
"Praia Grande (SC)";"24556";"29357";"32113";"44627";"44167";"48705";"52436";"51165";"68886";"79562";"87333";"88501";"91237"
"Presidente Castello Branco (SC)";"15421";"16608";"18889";"19520";"15438";"16267";"15288";"19227";"25249";"22998";"22202";"29227";"22899"
"Presidente Getúlio (SC)";"99566";"120537";"141246";"160816";"197360";"205355";"195089";"216099";"281463";"277026";"296639";"310009";"217133"
"Presidente Nereu (SC)";"11462";"12998";"15663";"18171";"21839";"23989";"22934";"25864";"33227";"34445";"35012";"30569";"29557"
"Princesa (SC)";"9937";"11192";"12291";"15046";"18123";"18803";"17822";"21274";"27197";"33043";"36841";"38851";"38550"
"Quilombo (SC)";"72780";"81456";"103591";"128959";"184231";"167416";"166319";"199038";"247826";"229306";"185985";"202928";"214497"
"Rancho Queimado (SC)";"15091";"16022";"17276";"21777";"23469";"25071";"31209";"27312";"38735";"38882";"45057";"50574";"38700"
"Rio das Antas (SC)";"28458";"30713";"33134";"43922";"49244";"52492";"50779";"59941";"76113";"86442";"77244";"102647";"88518"
"Rio do Campo (SC)";"35372";"35726";"42485";"54129";"67820";"71441";"66292";"72160";"84153";"92595";"109669";"100323";"91626"
"Rio do Oeste (SC)";"40042";"43836";"51259";"65875";"73119";"74260";"76810";"92229";"117619";"128770";"125196";"109207";"106393"
"Rio dos Cedros (SC)";"58985";"64215";"72986";"84047";"98153";"98608";"109503";"121457";"134405";"141203";"173675";"185895";"178641"
"Rio do Sul (SC)";"437177";"482485";"599362";"686491";"836944";"960897";"1060517";"1126759";"1265511";"1235648";"1484563";"1635107";"2610753"
"Rio Fortuna (SC)";"28101";"29140";"30501";"38218";"41708";"46109";"44610";"50589";"64857";"79086";"84433";"97602";"82240"
"Rio Negrinho (SC)";"259719";"296516";"345950";"377664";"456582";"462457";"477812";"495364";"543067";"532689";"621316";"691698";"724698"
"Rio Rufino (SC)";"10545";"11609";"13758";"15623";"16165";"17267";"16943";"18756";"23463";"25460";"29022";"29722";"28721"
"Riqueza (SC)";"22012";"24721";"28856";"40213";"44333";"38742";"39206";"44131";"56076";"55556";"55596";"58900";"54226"
"Rodeio (SC)";"80267";"79430";"73599";"78466";"91141";"88812";"96754";"100839";"116567";"133259";"169812";"163781";"159435"
"Romelândia (SC)";"22552";"24547";"27502";"34710";"40252";"42144";"38946";"45793";"58492";"62814";"63898";"63046";"58915"
"Salete (SC)";"38523";"44821";"52734";"59540";"72913";"74900";"74427";"77443";"87903";"101172";"105898";"116065";"99007"
"Saltinho (SC)";"12349";"15275";"19644";"26594";"29710";"28524";"28356";"32683";"43120";"55361";"52422";"53966";"41757"
"Salto Veloso (SC)";"61441";"61487";"59023";"68868";"73551";"88039";"100828";"112429";"138719";"144818";"73968";"78103";"74560"
"Sangão (SC)";"30840";"33284";"38659";"54620";"65353";"72500";"81224";"95937";"116612";"127444";"161002";"189770";"162552"
"Santa Cecília (SC)";"76850";"83296";"104953";"145100";"186882";"198353";"200257";"178445";"202445";"201887";"259279";"246116";"253604"
"Santa Helena (SC)";"11435";"13431";"14886";"19346";"22034";"22056";"22514";"26229";"32828";"34165";"39543";"45575";"36641"
"Santa Rosa de Lima (SC)";"14180";"15343";"12636";"20050";"20584";"22944";"22233";"23623";"28674";"31783";"36661";"44163";"34224"
"Santa Rosa do Sul (SC)";"23117";"27558";"33800";"42748";"48172";"52618";"48755";"60406";"62108";"85823";"85708";"85507";"76868"
"Santa Terezinha (SC)";"36358";"39392";"57040";"69360";"79223";"84755";"78410";"90187";"120228";"134525";"133621";"116965";"118350"
"Santa Terezinha do Progresso (SC)";"8563";"11911";"14976";"19612";"26602";"24500";"23412";"25498";"35460";"38062";"37922";"39459";"30878"
"Santiago do Sul (SC)";"9056";"10324";"13368";"20305";"16062";"14797";"14883";"18003";"22201";"20772";"21354";"24833";"19730"
"Santo Amaro da Imperatriz (SC)";"64747";"72653";"85472";"103490";"109734";"124855";"141201";"162834";"173804";"208820";"256339";"281785";"308903"
"São Bernardino (SC)";"12082";"14242";"17928";"23794";"23674";"22868";"24118";"28014";"40114";"41377";"43314";"49350";"39323"
"São Bento do Sul (SC)";"660011";"712916";"865704";"1022976";"1239093";"1217245";"1251046";"1355812";"1504551";"1501744";"1828350";"2069654";"2344899"
"São Bonifácio (SC)";"13617";"14861";"18980";"26364";"27512";"29229";"27699";"25152";"30306";"33444";"35804";"37749";"35262"
"São Carlos (SC)";"46691";"51883";"62967";"77758";"83310";"81737";"84294";"112437";"141416";"146140";"160548";"182370";"159394"
"São Cristóvão do Sul (SC)";"38533";"42491";"60447";"69354";"65462";"69322";"66105";"52497";"58118";"62918";"70392";"70753";"69335"
"São Domingos (SC)";"57705";"62318";"82119";"111972";"125238";"104411";"114885";"140255";"172518";"201444";"189445";"207291";"155254"
"São Francisco do Sul (SC)";"570344";"717414";"1361307";"1723859";"1395366";"2387288";"2881390";"2959380";"3162801";"3324007";"4030243";"4347605";"5068800"
"São João do Oeste (SC)";"31432";"37696";"35497";"49231";"60231";"67002";"67705";"85186";"117158";"135721";"133807";"145495";"150987"
"São João Batista (SC)";"85854";"93100";"105187";"137087";"173371";"205153";"250726";"282040";"329048";"344176";"430068";"494401";"467840"
"São João do Itaperiú (SC)";"19813";"22401";"29198";"33914";"34774";"33522";"39649";"43741";"49559";"54901";"65028";"74149";"65129"
"São João do Sul (SC)";"27403";"32562";"41771";"56462";"57490";"57928";"51636";"43702";"71345";"84978";"79778";"74567";"79357"
"São Joaquim (SC)";"96023";"117783";"133360";"176548";"166017";"176728";"233772";"243967";"279480";"310090";"372868";"377107";"356300"
"São José (SC)";"1299394";"1373727";"1534293";"1833249";"2241117";"2445252";"2939814";"3219963";"4096185";"4182647";"4813357";"5242962";"5768771"
"São José do Cedro (SC)";"66652";"75686";"90394";"126529";"141546";"152996";"164033";"203362";"252710";"258829";"253228";"263003";"221382"
"São José do Cerrito (SC)";"30854";"35877";"41608";"48069";"44722";"48192";"50177";"61470";"90928";"79057";"88526";"87656";"85720"
"São Lourenço do Oeste (SC)";"135471";"164202";"216318";"275756";"302550";"325785";"358707";"399592";"468430";"515016";"514480";"580771";"583739"
"São Ludgero (SC)";"97061";"113027";"127570";"156659";"183098";"204258";"203376";"208521";"230887";"263179";"311020";"359510";"361684"
"São Martinho (SC)";"15329";"17053";"20410";"28187";"34399";"34161";"29874";"37658";"49330";"49202";"49818";"50928";"52993"
"São Miguel da Boa Vista (SC)";"7103";"8113";"9411";"11799";"12908";"11918";"14092";"14884";"20929";"20033";"23553";"24414";"22413"
